Be careful.,Elementary,1
Be careful driving.,Elementary,1
Can you translate this for me?,Elementary,1
Chicago is very different from Boston.,Elementary,1
Don't worry.,Elementary,1
Everyone knows it.,Elementary,1
Everything is ready.,Elementary,1
Excellent.,Elementary,1
From time to time.,Elementary,1
Good idea.,Elementary,1
He likes it very much.,Elementary,1
Help!,Elementary,1
He's coming soon.,Elementary,1
He's right.,Elementary,1
He's very annoying.,Elementary,1
He's very famous.,Elementary,1
How are you?,Elementary,1
How's work going?,Elementary,1
Hurry!,Elementary,1
I ate already.,Elementary,1
I can't hear you.,Elementary,1
I'd like to go for a walk.,Elementary,1
I don't know how to use it.,Elementary,1
I don't like him.,Elementary,1
I don't like it.,Elementary,1
I don't speak very well.,Elementary,1
I don't understand.,Elementary,1
I don't want it.,Elementary,1
I don't want that.,Elementary,1
I don't want to bother you.,Elementary,1
I feel good.,Elementary,1
"If you need my help, please let me know.",Intermediate,2
I get off of work at 6.,Elementary,1
I have a headache.,Elementary,1
I hope you and your wife have a nice trip.,Intermediate,2
I know.,Elementary,1
I like her.,Elementary,1
I'll come back later.,Elementary,1
I'll pay.,Elementary,1
I'll take it.,Elementary,1
I'll take you to the bus stop.,Elementary,1
I lost my watch.,Elementary,1
I love you.,Elementary,1
I'm an American.,Elementary,1
I'm cleaning my room.,Elementary,1
I'm coming to pick you up.,Elementary,1
I'm going to leave.,Elementary,1
"I'm good, and you?",Elementary,1
I'm happy.,Elementary,1
I'm hungry.,Elementary,1
I'm married.,Elementary,1
I'm not busy.,Elementary,1
I'm not married.,Elementary,1
I'm not ready yet.,Elementary,1
I'm not sure.,Elementary,1
"I'm sorry, we're sold out.",Elementary,1
I'm thirsty.,Elementary,1
I'm very busy. I don't have time now.,Intermediate,2
I need to change clothes.,Elementary,1
I need to go home.,Elementary,1
I only want a snack.,Elementary,1
Is Mr. Smith an American?,Elementary,1
Is that enough?,Elementary,1
I think it's very good.,Elementary,1
I think it tastes good.,Elementary,1
I thought the clothes were cheaper.,Elementary,1
It's longer than 2 miles.,Elementary,1
I've been here for two days.,Elementary,1
I've heard Texas is a beautiful place.,Elementary,1
I've never seen that before.,Elementary,1
I was about to leave the restaurant when my friends arrived.,Intermediate,2
Just a little.,Elementary,1
Just a moment.,Elementary,1
Let me check.,Elementary,1
Let me think about it.,Elementary,1
Let's go have a look.,Elementary,1
Let's practice English.,Elementary,1
May I speak to Mrs. Smith please?,Elementary,1
More than that.,Elementary,1
Never mind.,Elementary,1
Next time.,Elementary,1
No.,Elementary,1
Nonsense.,Elementary,1
"No, thank you.",Elementary,1
Nothing else.,Elementary,1
Not recently.,Elementary,1
Not yet.,Elementary,1
Of course.,Elementary,1
Okay.,Elementary,1
Please fill out this form.,Elementary,1
Please take me to this address.,Elementary,1
Please write it down.,Elementary,1
Really?,Elementary,1
Right here.,Elementary,1
Right there.,Elementary,1
See you later.,Elementary,1
See you tomorrow.,Elementary,1
See you tonight.,Elementary,1
She's pretty.,Elementary,1
Sorry to bother you.,Elementary,1
Stop!,Elementary,1
Take a chance.,Elementary,1
Take it outside.,Elementary,1
Tell me.,Elementary,1
Thanks for everything.,Elementary,1
Thanks for your help.,Elementary,1
Thank you.,Elementary,1
Thank you miss.,Elementary,1
Thank you sir.,Elementary,1
Thank you very much.,Elementary,1
That looks great.,Elementary,1
That's alright.,Elementary,1
That's enough.,Elementary,1
That's fine.,Elementary,1
That's it.,Elementary,1
That smells bad.,Elementary,1
That's not fair.,Elementary,1
That's not right.,Elementary,1
That's right.,Elementary,1
That's too bad.,Elementary,1
That's too many.,Elementary,1
That's too much.,Elementary,1
The book is under the table.,Elementary,1
They'll be right back.,Elementary,1
They're the same.,Elementary,1
